stop_id,tract_id
1271,1400000US17031190702
1272,1400000US17031190702
1273,1400000US17031190702
1275,1400000US17031190602
1278,1400000US17031190602
1279,1400000US17031190601
1282,1400000US17031190601
1283,1400000US17031831500
1286,1400000US17031831500
1287,1400000US17031190601
1289,1400000US17031831500
1291,1400000US17031191301
1295,1400000US17031191302
1296,1400000US17031191302
1297,1400000US17031191302
1299,1400000US17031191200
1301,1400000US17031191200
1302,1400000US17031191200
1303,1400000US17031191100
1304,1400000US17031191100
1305,1400000US17031191100
1306,1400000US17031191100
1307,1400000US17031191000
1308,1400000US17031200300
1309,1400000US17031200300
1310,1400000US17031200300
1311,1400000US17031200300
1312,1400000US17031200300
1313,1400000US17031200300
1314,1400000US17031200300
1315,1400000US17031200300
1316,1400000US17031220902
1317,1400000US17031220902
1319,1400000US17031220902
1320,1400000US17031220902
1321,1400000US17031221000
1322,1400000US17031221100
1323,1400000US17031221100
1324,1400000US17031221100
1326,1400000US17031221200
1327,1400000US17031221200
1329,1400000US17031221300
1330,1400000US17031221400
1332,1400000US17031221500
1333,1400000US17031221500
1334,1400000US17031221600
1339,1400000US17031832500
1340,1400000US17031832500
1345,1400000US17031832500
1346,1400000US17031071000
1348,1400000US17031071100
1349,1400000US17031071100
1350,1400000US17031071200
1351,1400000US17031071200
1352,1400000US17031071200
1353,1400000US17031071200
1354,1400000US17031808002
1355,1400000US17031130100
1356,1400000US17031130100
1357,1400000US17031130100
1358,1400000US17031020702
1359,1400000US17031020701
1360,1400000US17031020701
1361,1400000US17031020701
1362,1400000US17031020701
1363,1400000US17031020701
1364,1400000US17031020801
1365,1400000US17031020801
1367,1400000US17031040202
1368,1400000US17031040202
1370,1400000US17031040201
1371,1400000US17031040201
1372,1400000US17031040201
1373,1400000US17031040201
1375,1400000US17031040600
1400,1400000US17031071200
1401,1400000US17031071200
1402,1400000US17031071300
1403,1400000US17031071300
1405,1400000US17031071500
1409,1400000US17031071500
1410,1400000US17031071500
1411,1400000US17031080300
1412,1400000US17031080300
1413,1400000US17031080300
1414,1400000US17031080300
1415,1400000US17031081000
1417,1400000US17031081000
1418,1400000US17031081000
1419,1400000US17031081000
1421,1400000US17031320102
1423,1400000US17031839100
1425,1400000US17031839100
1427,1400000US17031839100
1429,1400000US17031839100
1430,1400000US17031839100
1431,1400000US17031839100
1437,1400000US17031320102
1438,1400000US17031320102
1439,1400000US17031320102
1443,1400000US17031081000
1444,1400000US17031081000
1445,1400000US17031081000
1446,1400000US17031080202
1447,1400000US17031080202
1448,1400000US17031080201
1449,1400000US17031080201
1450,1400000US17031080201
1451,1400000US17031071500
1456,1400000US17031071300
1483,1400000US17031040600
1486,1400000US17031040201
1487,1400000US17031040201
1488,1400000US17031040201
1489,1400000US17031040201
1491,1400000US17031040202
1492,1400000US17031040202
1493,1400000US17031040202
1494,1400000US17031040202
1495,1400000US17031020801
1497,1400000US17031020701
1498,1400000US17031020701
1499,1400000US17031020701
1500,1400000US17031020701
1502,1400000US17031020701
1503,1400000US17031020702
1504,1400000US17031130100
1505,1400000US17031130100
1507,1400000US17031130100
1509,1400000US17031420100
1510,1400000US17031420100
1512,1400000US17031420100
1513,1400000US17031411000
1514,1400000US17031411000
1515,1400000US17031411000
1517,1400000US17031411000
1518,1400000US17031410900
1519,1400000US17031410900
1520,1400000US17031410900
1521,1400000US17031410900
1522,1400000US17031410100
1523,1400000US17031390700
1524,1400000US17031390700
1525,1400000US17031390700
1527,1400000US17031390600
1528,1400000US17031390600
1529,1400000US17031390600
1530,1400000US17031390500
1533,1400000US17031390400
1535,1400000US17031843600
1536,1400000US17031843600
1537,1400000US17031843600
1538,1400000US17031843600
1539,1400000US17031381900
1540,1400000US17031381900
1541,1400000US17031381800
1542,1400000US17031381800
1543,1400000US17031381800
1554,1400000US17031380600
1560,1400000US17031839500
1562,1400000US17031839500
1563,1400000US17031842000
1564,1400000US17031839200
1565,1400000US17031839200
1566,1400000US17031839200
1567,1400000US17031841000
1568,1400000US17031841000
1570,1400000US17031841000
1573,1400000US17031330103
1574,1400000US17031330103
1575,1400000US17031330103
1579,1400000US17031330102
1580,1400000US17031320600
1581,1400000US17031320600
1582,1400000US17031320600
1583,1400000US17031320600
1584,1400000US17031320400
1586,1400000US17031320400
1587,1400000US17031320600
1588,1400000US17031320600
1589,1400000US17031320600
1590,1400000US17031320600
1591,1400000US17031330102
1592,1400000US17031330102
1593,1400000US17031330102
1595,1400000US17031330103
1596,1400000US17031330103
1597,1400000US17031330103
1598,1400000US17031330103
1599,1400000US17031841000
1602,1400000US17031841000
1603,1400000US17031839200
1604,1400000US17031839200
1605,1400000US17031839200
1606,1400000US17031839200
1607,1400000US17031842000
1608,1400000US17031842000
1609,1400000US17031842000
1610,1400000US17031842000
1616,1400000US17031380600
1627,1400000US17031836100
1628,1400000US17031836100
1629,1400000US17031836100
1631,1400000US17031836100
1632,1400000US17031836100
1633,1400000US17031836100
1634,1400000US17031836100
1635,1400000US17031836100
1636,1400000US17031836100
1637,1400000US17031836300
1638,1400000US17031836300
1639,1400000US17031836300
1642,1400000US17031410200
1643,1400000US17031410200
1644,1400000US17031410200
1645,1400000US17031410100
1646,1400000US17031410100
1647,1400000US17031410100
1648,1400000US17031410100
1649,1400000US17031410100
1650,1400000US17031410100
1651,1400000US17031410900
1652,1400000US17031410900
1653,1400000US17031410900
1654,1400000US17031411000
1655,1400000US17031411000
1656,1400000US17031411000
1658,1400000US17031411000
1659,1400000US17031420100
1660,1400000US17031420100
1661,1400000US17031420100
1662,1400000US17031040600
1664,1400000US17031040401
1668,1400000US17031040100
1669,1400000US17031040100
1670,1400000US17031040100
1671,1400000US17031040100
1672,1400000US17031040100
1673,1400000US17031040100
1675,1400000US17031020901
1676,1400000US17031020901
1677,1400000US17031020901
1679,1400000US17031020500
1680,1400000US17031020500
1681,1400000US17031020500
1682,1400000US17031020500
1683,1400000US17031020400
1684,1400000US17031020400
1686,1400000US17031020400
1688,1400000US17031020100
1689,1400000US17031020100
1690,1400000US17031020100
1691,1400000US17031020100
1693,1400000US17031020200
1694,1400000US17031020200
1696,1400000US17031020302
1698,1400000US17031020302
1699,1400000US17031020302
1700,1400000US17031020302
1701,1400000US17031020602
1702,1400000US17031020602
1703,1400000US17031020602
1705,1400000US17031020802
1706,1400000US17031020802
1707,1400000US17031020802
1708,1400000US17031020802
1709,1400000US17031020801
1710,1400000US17031020801
1711,1400000US17031020801
1713,1400000US17031040202
1714,1400000US17031040202
1715,1400000US17031040202
1719,1400000US17031040201
1721,1400000US17031020702
1722,1400000US17031020702
